Content,Tag
"This was our very first time visiting Paris and Disneyland Paris. We just couldn't get enough of the whole experience. It was the highlight of our whole trip. All of us adults and kids are still dreaming of the whole experience. The staff was amazing and super helpful. Walt Disney Studios Avengers Campus with the theme song playing gave us goosebumps every single time as we are hardcore Marvel fans. The character performances were fabulous. If only we could get a prior notification when each character comes out on the street or the roof would have been fantastic. I couldn't beleive my eyes when I saw my favourite character Loki. I missed the show as I didn't know when it was happening. It was a minor hiccup compared to the whole next level experience with superb rides, the Disney stars on parade. The younger kids loved meeting Mickey and Princesses. The Avengers Flight force ride was out of this world. Since we had only 1 day to cover most activities we missed out on most. It was surprising it was still really crowded during winter but queues moved fairly quick. Unexpected meet with Captain Jack Sparrow was epic. He was so kind to stop and take a pic with me. Web Slinger, Ratatouille, Phantom Manor, Small World are few main rides we did. The other family went in all the kids rides on Disneyland Park. The lights how at 8pm was so magical and standing outside in the freezing cold was totally worth it. The restaurants werenot too crowded but we grabbed bites from trucks as we wanted to do more activities. Wish we had more time to do more rides as 1 day is definitely not enough for the 2 parks. Will need atleast 3 days. Next time we will definitely choose   to stay at a Disney Hotel so we can enjoy extra magic time before the general crowd. Using the Disneyland Paris app was also super easy. Will definitely give this wholesome family fun experience a 10 out of 10.",Planning Tips
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Magic Atmosphere
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Staff Friendliness
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Crowd Management
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Ride Experience
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Attraction Availability
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Event Experiences
"Spent 2 days at dlp last week, alot of people saying that disney has lost its magic,I agree with this to a degree and it must up its game in regards to make sure guests have a magical time,hardly saw any members of staff roaming the park apart from the cleaners,also a big reason why the magic is lacking is the state of society in general, angry rude ignorant people, who have no regard for other visitors openly smoking and vaping anywhere they please, pushing anyone in there way,still we made the best of it and enjoyed disneyland Park only waiting between 5 and 20 mins for the rides we wanted, we visited 2 years ago and thought the parades and nighttime show was far better than this time,as for the studios we thought this was terrible far to much work going on and very over crowded with nowhere to walk or sit down so left after 30 minutes and returned to the other park,disney village was also undergoing a big refurbishment ,will probably wait a few years before returning when hopefully the refurbishment will be completed..",Overall Satisfaction
From the first gate it reminds you of happiness and joy that all of us have been experiencing since we were little. Disney gives you your childhood memories and takes you back there.,Magic Atmosphere
From the first gate it reminds you of happiness and joy that all of us have been experiencing since we were little. Disney gives you your childhood memories and takes you back there.,Family Experience
Worst place their behaviour quality is not good staff was not good I would never recommend you all to visit over here because when the entry become full they only allow Europe passport holders not give the priority of tourist worst place worst everything,Staff Friendliness
Worst place their behaviour quality is not good staff was not good I would never recommend you all to visit over here because when the entry become full they only allow Europe passport holders not give the priority of tourist worst place worst everything,Overall Satisfaction
Worst place their behaviour quality is not good staff was not good I would never recommend you all to visit over here because when the entry become full they only allow Europe passport holders not give the priority of tourist worst place worst everything,Accessibility Issues
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Magic Atmosphere
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Staff Friendliness
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Food Quality
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Customer Service
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Family Experience
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Attraction Availability
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Ticket Pricing
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Crowd Management
"Always have a magical time at Disneyland Paris, where the staff, the shows, the night illuminations really help with the magic. The new show really was good with the projections in the main street, which we already had experience in Disneyland California but this was so nostalgic and right into the heart, so a top feeling just before you leave the main park. Staff was great, food was good and snacks as well. Stayed at Sequoia for the 1st night, got a really nice room and had a really good experience at check in with Nuno Lui, who made sure to let us know the luggage could be transferred to Disneyland Hotel in the morning, which meant we got straight into the parks in the following day. I didn't know this so the fact that he paid attention to what I told him was gonna be our plan and tailored for us, was TOP. We had our bags in our room around 6pm, which was before dinner, so were able to get ready for our Manhattan experience with 0 fuss. Once in Manhattan, we had a great experience, where Nicolas took very good care of us, food was great and he made sure the dishes my wife picked didn't contain tomato, as she is allergic. We had a great experience at the Royal Banquet, or so we thought, but sadly, my wife got sick in the middle of the night. I know this is a buffet but I still feel once I told the staff she was allergic to tomato we should have been taken around the buffet to understand what she could eat, as she did her best to pick the dishes she thought didn't contain but this is a bit of a mission impossible, resulting in a really bad night before our last park day.We had a good experience at the Stark Industries and at the food carts we got around both parks for some nice snacking / small bites and also, at the Disney Village at the Steakhouse and Annette's.There are a few things to mention here that for me are the reason why this trip will never be a 5 start for me and my wife. I paid 85eur for a photopass for my 3 days and came home feeling like I paid 8.5eur per photo. There was 1 single magic spot in all our stay, never see photopass photographers anywhere, a lot of characters don't have this as well, so why are we being charged so much for it? The difference between Paris and the american parks is huge, I always come home with so many memories from the american parks photo wise and sadly with barely any from Paris. The price of premier access is insane, will have again to mention the genie in Disneyland California, which even includes photos!!!! and is so much cheaper than Paris. I'd definitely prefer to queue 5/10 minutes and have more people access it than feeling that you need to be rich to have access to these experiences. Also, there's still a lot of main rides not included with it, I think after paying so much this should really feel premier. Also, aware of the state of Walt Disney Studios right now with the re-theming and understanding with that but it does mean place gets too crowded in the few tunnels where we can pass to go from one side to the other of the park, and really not feeling a lot magical right now. We still enjoyed the attractions there and the pixar show is always a good experience. A bit disappointed with the night show, feeling like it's lacking and was a waste of our time.",Overall Satisfaction
"Ok, Where to start… so me and my husband booked a last minute trip to Disneyland Paris. The whole experience from start to finish have been awful. The buses running to and from the hotels to Disneyland are not regular you will be waiting atleast 45 minutes for the bus, by then lots of people are waiting already and you are crammed onto the bus like sardines.  If you have anxiety or are claustrophobic AVOID getting the bus. And when going from Disney to the hotel you have people shouting TAXI TAXI TO HOTEL GOOD PRICE every 5 seconds which was incredibly draining and not what you need after a long day out. Going into Disneyland everything is extremely lackluster.  There’s a lot of walking but not really much entertainment or things to see on the way. No where to sit down and relax.  Hardly any cast members around.  A lot of park works going on at the moment with boards up and stuff blocked off.  A lot of the rides were shut for refurbishment.  Me and my husband booked a table to plaza gardens and was left to wait outside in the rain before 30 minutes had passed so we just left.  The food prices are ridiculous.  In the whole of Disney. Nothing is run correctly and honestly Disney should be ashamed of themselves.  French people in general are incredibly rude.  They push past you ,barge into you and they do not apologise.  Honestly this has been the worst holiday I have ever been on and I have been a lot of places.   I wouldn’t recommend anybody to visit Disneyland Paris.  Go to Disney world Florida instead don’t waste your money here because you will regret it.  SPEND IT ELSEWHERE! If I could give this place 0 stars I would We also stayed at the grand magic hotel which was not a good experience but that’s for another review.",Crowd Management
"Ok, Where to start… so me and my husband booked a last minute trip to Disneyland Paris. The whole experience from start to finish have been awful. The buses running to and from the hotels to Disneyland are not regular you will be waiting atleast 45 minutes for the bus, by then lots of people are waiting already and you are crammed onto the bus like sardines.  If you have anxiety or are claustrophobic AVOID getting the bus. And when going from Disney to the hotel you have people shouting TAXI TAXI TO HOTEL GOOD PRICE every 5 seconds which was incredibly draining and not what you need after a long day out. Going into Disneyland everything is extremely lackluster.  There’s a lot of walking but not really much entertainment or things to see on the way. No where to sit down and relax.  Hardly any cast members around.  A lot of park works going on at the moment with boards up and stuff blocked off.  A lot of the rides were shut for refurbishment.  Me and my husband booked a table to plaza gardens and was left to wait outside in the rain before 30 minutes had passed so we just left.  The food prices are ridiculous.  In the whole of Disney. Nothing is run correctly and honestly Disney should be ashamed of themselves.  French people in general are incredibly rude.  They push past you ,barge into you and they do not apologise.  Honestly this has been the worst holiday I have ever been on and I have been a lot of places.   I wouldn’t recommend anybody to visit Disneyland Paris.  Go to Disney world Florida instead don’t waste your money here because you will regret it.  SPEND IT ELSEWHERE! If I could give this place 0 stars I would We also stayed at the grand magic hotel which was not a good experience but that’s for another review.",Ride Experience
